Epoch, Log-likelihood, Accuracy, RMSE
1, -4.65070,  0.40289,  17710.74354
2, -4.60564,  0.40112,  17704.31149
3, -4.50918,  0.40193,  17740.59993
4, -4.56344,  0.40315,  17896.28670
5, -4.57322,  0.40521,  18005.85336
6, -4.67384,  0.40260,  18472.96181
7, -4.60901,  0.40554,  18611.65520
8, -4.70186,  0.40609,  19150.74324
9, -4.60066,  0.40644,  19134.91928
10, -4.69523,  0.40655,  19038.00542
11, -4.77306,  0.40623,  19267.57266
12, -4.77552,  0.40715,  19210.53167
13, -4.77751,  0.40726,  18863.57298
14, -4.85390,  0.40710,  18916.35925
15, -4.81657,  0.40719,  18995.93622
16, -4.81659,  0.40703,  18802.79276
17, -4.84111,  0.40661,  18832.74718
18, -4.81985,  0.40650,  18650.85492
19, -4.80616,  0.40666,  18666.93903
20, -4.82905,  0.40652,  18535.80758
21, -4.85172,  0.40644,  18753.67107
22, -4.86175,  0.40686,  18761.81619
23, -4.82529,  0.40651,  18781.76140
24, -4.84920,  0.40659,  18806.69294
25, -4.86300,  0.40473,  18785.56486
26, -4.88404,  0.40494,  18698.64736
27, -4.84461,  0.40502,  18681.57921
28, -4.85886,  0.40543,  18529.88514
29, -4.90631,  0.40519,  18634.03039
30, -4.91558,  0.40486,  18688.35795
31, -4.88629,  0.40517,  18752.17464
32, -4.87013,  0.40510,  18611.48702
33, -4.88080,  0.40521,  18643.30384
34, -4.90391,  0.40525,  18672.54921
